Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,,
35,Keraton Kasunanan Surakarta Hadiningrat Solo,Keraton Surakarta Hadiningrat atau Keraton Surakarta adalah Istana resmi Kesunanan Surakarta Hadiningrat yang terletak di Kota Surakarta. Keraton ini didirikan oleh Sri Susuhunan Pakubuwana II pada tahun 1744 sebagai pengganti Keraton Kartasura yang porak-poranda akibat Geger Pecinan pada tahun 1743. ,Wisata Sejarah,Surakarta,15000,4.6,25,"{'lat': -7.57768, 'lng': 110.82829}","-7,577,068","110,828,029",,35
36,Masjid Menara Kudus,"Masjid Menara Kudus adalah masjid kuno yang dibangun oleh Sunan Kudus sejak tahun 1549 Masehi. Lokasi saat ini berada di Desa Kauman, Kecamatan Kota, Kabupaten Kudus, Jawa Tengah.",Wisata Sejarah,Kudus,5000,4.7,20,"{'lat': -6.80396, 'lng': 110.83277}","-6,803,096","110,832,077",,36
37,Museum Purbakala Sangiran ,"Museum Purbakala Sangiran adalah museum arkeologi yang terletak di Kalijambe, Kabupaten Sragen, Jawa Tengah, Indonesia. Museum ini berdekatan dengan area situs fosil purbakala Sangiran yang merupakan salah satu Situs Warisan Dunia UNESCO.",Wisata Sejarah,Sragen,8000,4.5,30,"{'lat': -7.43953, 'lng': 110.84040}","-7,439,053","110,840,040",,37
38,Kampoeng Batik Laweyan,"Kampung Batik Laweyanadalah salah satu sentra batik yang cukup terkenal  di kota solo. Namun, Kampung Laweyan bukan sekedar sebuah sentra batik biasa, kampung ini tentunya memiliki banyak sekali sejarah, sehingga menjadi icon batik solo.",Wisata Sejarah,Solo,40000,4.3,45,"{'lat': -7.56970, 'lng': 110.79697}","-7,569,070","110,796,097",,38
39,Museum Kereta Api Ambarawa,"Museum Kereta Api Ambarawa adalah sebuah stasiun kereta api yang sudah dialihfungsikan menjadi sebuah museum serta merupakan museum perkeretaapian pertama di Indonesia. Museum ini memiliki koleksi kereta api yang pernah berjaya pada zamannya. Museum ini secara administratif berada di Desa Panjang, Ambarawa, Semarang.",Wisata Sejarah,Ambarawa,20000,4.6,90,"{'lat': -7.26413, 'lng': 110.40449}","-7,264,013","110,404,049",,39
40,Taman Nasional Karimunjawa,"Taman Nasional Karimunjawa adalah sebuah taman nasional yang terletak di utara pulau Jawa. Wilayah taman nasional ini berada dalam administrasi Kabupaten Jepara. Pengelolaanya terdiri dari zona inti, zona perlindungan dan zona pemanfaatan. ",Wisata Cagar Alam/Konservasi dan Pertanian,Jepara,5000,4.7,20,"{'lat': -5.84941, 'lng': 110.44033}","-5,849,041","110,440,033",,40
41,Cagar Alam Moga,"CA Moga terletak di Desa Banyumudal, Kecamatan Moga, Kabupaten Pemalang. Kawasan cagar alam ini mempunyai topografi bergelombang dengan ketinggian + 600 m di atas permukaan laut, dengan jenis tanah latosol.",Wisata Cagar Alam/Konservasi dan Pertanian,Pemalang,5000,4.6,20,"{'lat': -7.12696, 'lng': 109.24971}","-7,126,096","109,249,071",,41
42,Cagar Alam Curug Bengkawah,"CA Curug Bengkawah ditunjuk sebagai kawasan cagar alam berdasarkan Local Decree No. 25 tanggal 1 Januari 1925, dengan luas 1,5 Ha. Status tersebut diperkuat dengan SK Penunjukan Menteri Kehutanan No. SK.359/Menhut-II/2004 tanggal 1 Oktober 2004.",Wisata Cagar Alam/Konservasi dan Pertanian,Pemalang,5000,4.6,30,"{'lat': -7.11485, 'lng': 109.32867}","-7,114,085","109,328,067",,42
43,Cagar Alam Pagerwunung,"Cagar Pagerwunung Darupono mempunyai hutan dengan tipe ekosistem hutan kering dataran rendah, dengan tumbuhan dominan Jati.",Wisata Cagar Alam/Konservasi dan Pertanian,Kendal,0,4.3,35,"{'lat': -7.02457, 'lng': 110.26579}","-7,024,057","110,265,079",,43
44,Cagar Alam Telogo Ranjeng,"Telaga Ranjeng atau biasa juga diucapkan Telaga Renjeng adalah kawasan CAGAR ALAM yang berlokasi di desa Pandansari, kecamatan Paguyangan, Kabupaten Brebes, Jawa Tengah.",Wisata Cagar Alam/Konservasi dan Pertanian,Brebes,5000,4.2,30,"{'lat': -7.27392, 'lng': 109.10291}","-7,273,092","109,102,091",,44
45,Taman Wisata Alam Gunung Selok,"Gunung Selok sebenarnya adalah wisata alam yang berupa hutan gunung yang dikelola oleh Perum Perhutani KPH Banyumas Timur. Wisata alam yang terletak di ketinggian 150 km di atas laut ini mempunyai luas area hingga 236,7 Ha. Gunung yang satu ini pun terkenal sebagai tempat spiritual yang memiliki kekuatan mistis.",Wisata Cagar Alam/Konservasi dan Pertanian,Cilacap,5000,4.2,30,"{'lat': -7.68388, 'lng': 109.17241}","-7,683,088","109,172,041",,45
46,Taman Wisata Alam Telogo Warno & Pengilon,"Telogo Warno merupakan danau air tawar yang permukaannya tampak berwarna-warni, sedangkan Telogo Pengilon permukaannya bening seperti cermin (Bahasa Jawa : pengilon = cermin). Kedua telaga ini letaknya berdekatan pada hamparan Dataran Tinggi Dieng yang terletak pada ketinggian + 2.100 m di atas permukaan laut. ",Wisata Cagar Alam/Konservasi dan Pertanian,Wonosobo,26000,4.4,25,"{'lat': -7.20795, 'lng': 109.91877}","-7,207,095","109,918,077",,46
47,Pasar Semawis ,"Pasar Semawis atau Pasar Malam Semawis atau dikenal juga sebagai Waroeng Semawis, adalah pasar malam yang menjual berbagai jenis makanan dan minuman serta oleh-oleh khas Semarang. Pasar yang hanya ada setiap akhir pekan ini ""digelar"" di kawasan pecinan Kota Semarang, tepatnya di sepanjang jalan Gang Warung.", Wisata Belanja dan Kuliner,Semarang,0,4.5,15,"{'lat': -6.97428, 'lng': 110.42628}","-6,974,028","110,426,028",,47
48,Paragon Mall,"Paragon City sendiri terdiri atas pusat belanja bertema lifestyle and entertainment mall dengan total luas bangunan mencapai 120.000 m2. Ada apa saja di Mall Paragon City Semarang ini? Di lantai dasar ada Body Shop, Charles & Keith, Crocs, Crowne Plaza, Dapur Mama, Diamond House, Donini, Elegance Jewelry, Franc & Co, Giordano, Guess Accessories, J CO Donuts, Matahari New Concept, Maylan cake, Optik SEIS, Polo Ralph Lauren, Starbucks Coffee, Watch Club serta Haagen Dazs.", Wisata Belanja dan Kuliner,Semarang,0,4.7,10,"{'lat': -6.97903, 'lng': 110.41591}","-6,979,003","110,415,091",,48
49,Pasar Seni Kota Lama ,"Pasar ini menawarkan berbagai macam barang-barang bekas, antik, juga hasil karya seniman-seniman Semarang.", Wisata Belanja dan Kuliner,Semarang,0,4.5,10,"{'lat': -6.96782, 'lng': 110.42731}","-6,967,082","110,427,031",,49
50,Pasar Johar,"Pasar Johar asli yang dirancang oleh Thomas Karsten terdiri atas tiga blok: Pasar Johar Utara, Pasar Johar Tengah dan Pasar Johar Selatan. Memiliki fasad pada sisi utara dan sisi barat. Merupakan bangunan dua lantai pada bagian tepinya dan memiliki ciri arsitektur yang khas berupa Kolom Cendawan dan Lantern yang merupakan salah satu bentuk perencanaan Karsten yang sangat adaptif terhadap faktor lokal, khususnya iklim.", Wisata Belanja dan Kuliner,Semarang             ,0,4.4,10,"{'lat': -6.97190, 'lng': 110.42471}","-6,971,090","110,424,071",,50
51,Pasar Triwindu,"Pasar ini dibangun di selatan kompleks Istana Mangkunegaran, tepatnya di sisi timur boulevard yang mengarah ke gapura istana.", Wisata Belanja dan Kuliner,Solo,0,4.5,20,"{'lat': -7.56894, 'lng': 110.82254}","-7,568,094","110,822,054",,51
52,Solo Paragon Mall,"Mal perkotaan semarak yang menawarkan berbagai toko retail, restoran, minimarket & bioskop.", Wisata Belanja dan Kuliner,Solo,0,4.5,10,"{'lat': -7.56228, 'lng': 110.80988}","-7,562,028","110,809,088",,52
53,Pasar Klewer,"Pasar Klewer adalah pasar tekstil terbesar di Kota Surakarta. Pasar yang letaknya bersebelahan dengan Keraton Surakarta ini juga merupakan pusat perbelanjaan kain batik yang menjadi rujukan para pedagang dari Yogyakarta, Surabaya, Semarang, dan kota-kota lain di Pulau Jawa", Wisata Belanja dan Kuliner,Solo,0,4.4,15,"{'lat': -7.57523, 'lng': 110.826669}","-7,575,023","110,826,069",,53
54,Pusat Grosir Solo (PGS),"Pusat Grosir Solo adalah pusat belanja yang terletak di pusat kota Surakarta, yaitu di daerah Gladag. Pedagang-pedagang di PGS melayani pembelian baik secara grosir maupun eceran untuk aneka produk sandang, terutama batik di Kota Solo. ", Wisata Belanja dan Kuliner,Solo,0,4.4,15,"{'lat': -7.57279, 'lng':110.82999}","-7,572,079","110,829,099",,54
55,Pasar Gede Solo,"Pasar Gede mulanya merupakan sebuah pasar kecil yang didirikan di area seluas 10.421 hektare, berlokasi di persimpangan jalan dari kantor gubernur yang sekarang berubah fungsi menjadi Balaikota Surakarta. Bangunan ini dirancang oleh seorang arsitek Belanda bernama Ir. Thomas Karsten.[", Wisata Belanja dan Kuliner,Solo,0,4.2,15,"{'lat': -7.56912, 'lng': 110.83141}","-7,569,012","110,831,041",,55
56,Ria Batik Solo Indonesia,"Toko luas yang menjual baju batik tradisional & modern, plus aksesori, hadiah & suvenir.", Wisata Belanja dan Kuliner,Solo,0,4,10,"{'lat': -7.56166, 'lng': 110.81861}","-7,561,066","110,818,061",,56
57,Rita Super Mall ,"Toko retail, pujasera, bioskop & minimarket adalah daya tarik di mal kota populer ini.", Wisata Belanja dan Kuliner,Purwokerto,0,4.5,20,"{'lat': -7.42540, 'lng': 109.23034}","-7,425,040","109,230,034",,57
58,Pusat Grosir Batik Setono,"Bazar indoor yang terkenal dengan penjual baju batik tradisional untuk pria, wanita & anak-anak.", Wisata Belanja dan Kuliner,Purwokerto,0,4.4,10,"{'lat': -6.90175, 'lng': 109.69009}","-6,901,075","109,690,009",,58
59,Oemah Batik Lasem ,"Bangunan yang berdiri tahun 1870 ini memberikan keistimewaan tersendiri, karna adanya penemuan penemuan benda bersejarah pada dahulu kala, Ketika anda suka dengan batik tulis lasem di haruskan singgah di tempat ini, karna tempat ini menyimpan banyak sejarah tentang batik TULIS LASEM TIGA NEGERI", Wisata Belanja dan Kuliner,Rembang,0,4.9,10,"{'lat': -6.70002, 'lng': 111.44713}","-6,700,002","111,447,013",,59
